player_id,player,estimated_skill_mean
391,Noname,-0.0035087522
457,Akki,-0.005560695
607,Indy,-0.015406392
590,Phog,-0.021649895
373,Lillekanin,-0.021961644
499,DreAm,-0.022524105
454,pal,-0.02566085
441,ParanOid,-0.026511373
375,daisuki,-0.031918176
548,SpaceMarine,-0.038619116
978,AvaTaR,-0.038762514
593,sLh,-0.040600058
339,PandaBearMe,-0.04088986
623,MurDeR,-0.043302733
215,JimRising,-0.045595653
316,Jig,-0.046446513
357,theognis,-0.049974326
996,ExE,-0.054502856
726,jeysen,-0.0577587
416,Rossi,-0.05939921
707,OpTiKzErO,-0.061921515
793,ChanKiM,-0.063080356
717,Glon,-0.063238345
414,ReasoN,-0.06707502
751,WaKa,-0.072553374
419,Clavie,-0.08006075
784,Headhunter,-0.083341524
456,ArT,-0.08591776
567,Elroye,-0.086664446
367,ZhuGeLiang,-0.09144773
477,Dragon,-0.095315605
460,TomikuS,-0.0975239
986,Fazer,-0.10428571
398,RedArchon,-0.10923833
321,DS,-0.10954171
428,Fargo,-0.114493765
738,Primelot,-0.11594155
754,Couguar,-0.11755622
374,hellokitty,-0.123233736
821,NeverDie,-0.12444321
913,Healer,-0.13277209
704,Vasilisk,-0.13297139
719,TriMaster,-0.13381375
510,Roll,-0.13509458
769,Harpner,-0.13593867
382,KenZy,-0.13701405
267,Nice,-0.15174708
748,Laukyo,-0.16428095
450,Believe,-0.16671528
688,Chabby,-0.16702835
478,RaNgeD,-0.17143591
832,RobbyG,-0.17166296
711,KiToO,-0.17232148
541,InZaNe,-0.17302983
750,WPz,-0.17970927
340,Nifi,-0.18165806
224,CatZ,-0.18302806
470,Loup,-0.1844419
589,DeViL,-0.18944013
951,dwar,-0.19031334
829,Jaden,-0.19363378
599,SaltTheWound,-0.1943633
644,RainMan,-0.19931254
557,StrinterN,-0.20007706
723,TeebuL,-0.2079383
501,kAra,-0.20980836
646,Underdark,-0.21005628
692,binski,-0.21237333
564,Uzikoti,-0.21250597
498,MoMaN,-0.21726374
785,Theo,-0.22032519
807,SoulSpirit,-0.2206217
550,EdgE,-0.2226965
248,Blysk,-0.22438441
693,Kamker,-0.22507375
513,Protosser,-0.22592211
846,TANGTANG,-0.22597459
681,UkraineStar,-0.22733563
505,Blackcidy,-0.22791715
760,Thorminator,-0.23274618
840,Hades,-0.23619445
534,AlexCMoi,-0.23991637
570,rsvp,-0.24024795
863,SodoN,-0.24465613
718,RayReign,-0.24582149
538,Apro,-0.24809977
611,CreamCake,-0.24960104
762,jEcho,-0.24977776
461,White,-0.25165138
808,STX,-0.25820804
585,Everize,-0.26044846
547,Sasquatch,-0.26279157
574,Nado,-0.26453683
679,Heavens,-0.26525134
352,AureS,-0.265489
536,FunK,-0.26605055
660,NoXOuT,-0.26615384
344,Jarppi,-0.26905328
997,Sunshine,-0.27544716
944,LsEbA,-0.27549222
552,deth,-0.27862525
629,Jagelius,-0.28523168
369,StarEagle,-0.28597194
430,Silky,-0.28958717
638,Avekatten,-0.2922747
